"n_pages","content_mime_detected","top_tlds","top_domains"
"150","application/xml","[{org, 70}, {com, 63}, {edu, 7}, {gov, 6}]","{earthbyte.org=14, proteinatlas.org=56, maplesoft.com=5, bcgsc.ca=2, nasa.gov=4, arabiaweather.com=58, nist.gov=1, washington.edu=6, caltech.edu=1, uzh.ch=2, usgs.gov=1}"
"106","application/epub+zip","[{org, 54}, {gov, 18}, {ec, 11}, {com, 9}, {cl, 5}]","{uni-jena.de=1, um.es=1, nasa.gov=4, gene-quantification.de=1, swsc-journal.org=9, ucuenca.edu.ec=11, clemson.edu=3, uautonoma.cl=5, brainfacts.org=1, techscience.com=9, canada.ca=1, globe.gov=14, sissa.it=2, aanda.org=44}"
"100","application/vnd.openxmlformats-officedocument.presentationml.presentation","[{int, 34}, {nl, 27}, {gov, 16}, {edu, 13}, {no, 5}]","{utwente.nl=27, liu.se=1, ans.org=1, ntnu.no=5, fz-juelich.de=1, ntnu.edu=5, tuwien.at=1, rss.org.uk=1, wisc.edu=1, columbia.edu=1, esa.int=34, globe.gov=16, duke.edu=1, nrao.edu=5}"
"94","text/tab-separated-values","[{org, 86}]","{kazusa.or.jp=2, proteinatlas.org=2, bcgsc.ca=4, nasa.gov=1, riken.jp=1, salmobase.org=41, peptideatlas.org=43}"
"93","application/vnd.apple.keynote","[{edu, 47}, {int, 14}, {gov, 9}, {ca, 9}]","{berkeley.edu=2, nasa.gov=8, noaa.gov=1, csiro.au=1, ox.ac.uk=4, unipi.it=1, hkust.edu.hk=2, columbia.edu=1, uchicago.edu=2, toronto.edu=1, harvard.edu=16, lowell.edu=6, triumf.ca=2, cornell.edu=1, colorado.edu=1, utoronto.ca=5, caltech.edu=2, washington.edu=1, cern.ch=3, ubc.ca=2, ntu.edu.tw=1, esa.int=14, nrao.edu=5, loria.fr=2, brown.edu=9}"
"93","image/vnd.djvu","[{ru, 58}, {org, 32}]","{numdam.org=32, epizodyspace.ru=58, millsian.com=1, uva.nl=2}"
"71","application/x-sh","[{uk, 44}, {at, 9}, {ca, 7}, {edu, 6}]","{vcell.org=2, bcgsc.ca=7, tugraz.at=9, noaa.gov=2, wisc.edu=1, hutton.ac.uk=44, caltech.edu=5, uj.edu.pl=1}"
"59","application/x-idl-save-file","[{gov, 49}, {edu, 10}]","{noaa.gov=47, nasa.gov=2, colorado.edu=1, caltech.edu=9}"
"53","application/vnd.ms-excel.sheet.macroenabled.12","[{ca, 53}]","{canada.ca=53}"
"43","application/json","[{at, 23}, {ca, 11}, {org, 5}]","{proteinatlas.org=5, ebi.ac.uk=4, tuwien.ac.at=23, bcgsc.ca=11}"
"40","application/x-gtar","[{uk, 30}]","{metoffice.gov.uk=30, ico2s.org=3, jhuapl.edu=2, caltech.edu=1, uzh.ch=4}"
"38","application/illustrator","[{org, 37}]","{iodp.org=37, caltech.edu=1}"
"30","application/vnd.lotus-wordpro","[{edu, 24}, {ca, 6}]","{bcgsc.ca=6, wisc.edu=24}"
"25","application/x-tika-msoffice","[{cern, 15}, {kr, 9}]","{root.cern=15, qcenter.kr=2, unist.ac.kr=7, openrepository.com=1}"
"23","application/x-matlab-data","[{cz, 7}, {pl, 5}, {edu, 5}]","{uni-freiburg.de=2, stanford.edu=2, unica.it=1, cvut.cz=7, nasa.gov=2, noaa.gov=1, nyu.edu=3, uj.edu.pl=5}"
"22","application/x-tika-ooxml","[{org, 16}]","{yonsei.ac.kr=3, ceos.org=2, cauriensia.es=1, duke.edu=1, eartharxiv.org=14, colorado.edu=1}"
"19","application/xhtml+xml","[{org, 10}, {ca, 6}]","{dockflow.org=1, esf.edu=1, produccioncientificaluz.org=9, theccc.org.uk=1, clemson.edu=1, uwaterloo.ca=6}"
"17","application/pgp-encrypted","[{ca, 16}]","{mit.edu=1, bcgsc.ca=16}"
"15","application/mxf","[{org, 13}]","{nasa.gov=2, freedesktop.org=13}"
"14","application/vnd.openxmlformats-officedocument.presentationml.slideshow","[]","{mbari.org=1, ceos.org=2, wsl.ch=3, esa.int=2, bcgsc.ca=1, uol.de=1, nasa.gov=2, cec.org=1, uva.nl=1}"
"14","text/event-stream","[{org, 14}]","{lmfdb.org=14}"
"14","model/vnd.mts","[{au, 14}]","{csiro.au=14}"
"13","application/vnd.snesdev-page-table","[{ca, 13}]","{bcgsc.ca=13}"
"12","application/x-download","[{com, 12}]","{im-ldi.com=12}"
"12","application/vnd.xara","[{cern, 12}]","{root.cern=12}"
"11","application/vnd.google-earth.kml+xml","[{gov, 10}]","{richmond.edu=1, noaa.gov=10}"
"10","application/rdf+xml","[{se, 9}]","{proconsortium.org=1, gu.se=9}"
